资产账号,交易日（天）,日均权益（自然日）,日均权益(交易日),期末权益汇总
8702853,199,13.6,13.6,2706.4
8701673,199,36.13,36.13,7189.87
8732315,199,1.44,1.44,286.56
8759232,199,0,0,0
8739630,199,1.3,1.3,258.7
8727761,199,1.57,1.57,312.43
7835001,199,0,0,0
8713012,199,1.07,1.07,212.93
8710672,199,1,1,199
8776698,199,803.5175879,803.5175879,159900
8720286,199,0,0,0
8705620,199,1.83,1.83,364.17
8728750,199,0,0,0
8736588,199,17237.84,17237.84,3430330.16
8759735,199,5175.199799,5175.199799,1029864.76
8759237,199,370.4340704,370.4340704,73716.38
8727805,199,0,0,0
8733250,199,26.51562814,26.51562814,5276.61
8722956,199,1,1,199
8722531,199,149.1459799,149.1459799,29680.05
8712121,199,1,1,199
8705873,199,1.29,1.29,256.71
8736378,199,0,0,0
6000728,199,24.76,24.76,4927.24
7001039,199,0,0,0
7085076,199,0,0,0
8770117,199,3471.756734,3471.756734,690879.59
6007801,199,0.34,0.34,67.66
8732936,199,0,0,0
8763627,199,1.31,1.31,260.69
8723233,199,1.17,1.17,232.83
8753370,199,1.01,1.01,200.99
7070173,199,11278.06161,11278.06161,2244334.26
8767388,199,0,0,0
8767580,199,1,1,199
8765290,199,1,1,199
7118556,199,0,0,0
8750750,199,1,1,199
8716051,199,0,0,0
8753010,23,0,0,0
8756073,93,0.535025126,1.14483871,106.47
8726639,199,89.09,89.09,17728.91
8757115,199,204.72,204.72,40739.28
8733507,199,1920.25,1920.25,382129.75
6022975,199,3599.74,3599.74,716348.26
8727286,199,11.47,11.47,2282.53
8713277,199,100,100,19900
7772002,199,60199.18508,60199.18508,11979637.83
7336007,199,8.99,8.99,1789.01
7877010,199,5.08,5.08,1010.92
8727777,199,4.58,4.58,911.42
8705902,199,157004.957,157004.957,31243986.44
8770523,199,1,1,199
8776623,199,0,0,0
8719175,199,8828.214121,8828.214121,1756814.61
8730260,199,217.04,217.04,43190.96
8721765,199,2.33,2.33,463.67
8770301,199,0,0,0
7213272,199,0,0,0
7280000,199,20.99,20.99,4177.01
8759660,199,1,1,199
8705132,199,1,1,199
8800348,199,0,0,0
7118051,199,1,1,199
8728252,199,5722.808191,5722.808191,1138838.83
8610325,199,2.08,2.08,413.92
8772091,199,0,0,0
8763533,199,21.60417085,21.60417085,4299.23
8730351,199,394.2,394.2,78445.8
8729397,199,7.25,7.25,1442.75
8733927,199,3661.277286,3661.277286,728594.18
8802150,199,0,0,0
7089027,199,0,0,0
8515805,199,2000,2000,398000
8680173,199,1,1,199
7719115,199,6.72,6.72,1337.28
8582383,199,1.8,1.8,358.2
8767619,199,0,0,0
8735577,199,82658.11121,82658.11121,16448964.13
8775863,199,9.41,9.41,1872.59
8733202,199,1,1,199
8705925,199,74.6,74.6,14845.4
8773277,199,25496.47648,25496.47648,5073798.82
8777326,199,1,1,199
8756666,199,1,1,199
7213268,199,1,1,199
7676012,199,1,1,199
3010008,199,0,0,0
8760668,199,1.23,1.23,244.77
8767126,199,0,0,0
8721078,199,11.41,11.41,2270.59
8762390,199,53.48,53.48,10642.52
7719255,199,0,0,0
8712933,199,117.5821106,117.5821106,23398.84
8723592,199,4138.260452,4138.260452,823513.83
8715370,199,0,0,0
