HIBERNATE_SEQUENCE
PROCESS_BROCLI_REL
SEQ_ASSESS_RECORD
SEQ_BMS
SEQ_BMS_SYS_CODE
SEQ_BROKER_ADJUST
SEQ_BROKER_BROCLTREL
SEQ_BROKER_CONTRACT
SEQ_BROKER_ID
SEQ_BROKER_INFO
SEQ_BROKER_QHBROKERSREL
SEQ_CENT_BANK_RATE
SEQ_CENT_BANK_RATE_LOG
SEQ_CLIENT_FEXCHANGE_VIRTUAL
SEQ_CLIENT_FOREX
SEQ_CLIENT_GYYZ
SEQ_CLIENT_HK
SEQ_CLIENT_HKQH
SEQ_CLIENT_MARKET
SEQ_CLIENT_MARKET_RIGHT
SEQ_CLIENT_QH
SEQ_CLIENT_QH_LOG
SEQ_CLIENT_QH_MATCH
SEQ_CLIENT_QH_MSG
SEQ_COMMISSION
SEQ_COMPANY
SEQ_COOPERATE
SEQ_COOPERATE_BROKERACCOUNT
SEQ_COOPERATE_LOG
SEQ_COOPERATE_MSG
SEQ_COR_MEMBER
SEQ_DATA_IMPORT_STATUS
SEQ_DEPARTMENT
SEQ_DEPARTMENTEMPLOYEE
SEQ_EMPLOREE
SEQ_EMPLOYEEFAMILY
SEQ_EMPLOYEEROLE
SEQ_EMPLOYEE_LOG
SEQ_FEED_BACK
SEQ_FUNCTION
SEQ_HK_MARGIN_MODEL
SEQ_IQS
SEQ_IT_REQUEST_DOCUMENTS
SEQ_JBPM_PROCESS_MODEL
SEQ_LOGININFO
SEQ_MARKET_ORDER
SEQ_MEMBER
SEQ_MEMBER_CONTACT
SEQ_OPERATION
SEQ_OPERATIONCONTROL
SEQ_OPERATIONDETAIL
SEQ_PROCESS_BROBRO_REL
SEQ_PROCESS_BROCLI_REL
SEQ_PROCESS_CHANGEBROBRO_REL
SEQ_PROCESS_CHANGEBROCLI_REL
SEQ_PROCESS_DATA
SEQ_PROCESS_MODIFY_COOPERATE
SEQ_PROCESS_MSG
SEQ_QH_RISK_004
SEQ_ROLE
SEQ_ROLEFUNCTION
SEQ_SHIFT_DETAIL
SEQ_SIMULATION
SEQ_SIMULATION_LOG
SEQ_SIMULATION_MSG
SEQ_SPOUSE
SEQ_TB_CANCEL_ACCOUNT_LOG
SEQ_TB_CONTRACT_NO
SEQ_TB_EXPORT_USER_IMAGE_LOG
SEQ_TB_SELF_DATA_CHANGES_PUSH
SEQ_TB_YUNKAIHU_SENDSMS_LOG
SEQ_VIDEO_RESERVE
SEQ_VIDEO_SCHEDULE
SEQ_WECHAT_USER
